Title,Comment,publishedTimeText
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,Just needs a Rockford Fosgate sound system in it. I have 2015 fiesta I put a Rockford Fosgate sound system in it lol,3 years ago (edited)
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,Great little car at an affordable price! Looks like fun to drive especially with the seats and the handling.,3 years ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,"Have you seen the new Fiesta ST? 
It¡¯s got a three cylinder engine with 197hp and a manual gearbox only. Only for Europe and Australia.",3 years ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,Sweet! Just got my 2017 Fiesta ST!,3 years ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,I drive the Ford Fiesta SE... And  the 40 MPG is awesome... I work down slope.,3 years ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,"I bought one of these, Magnetic Gray with the black wheels brand new 2019 for $16500 out the door. super happy with it, so fun to drive. i¡¯m 6¡¯5 and it has plenty of space for me, for a small car we have been able to fit a ton of stuff in the back, gotta love hatchbacks.",3 years ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,It¡¯s too bad that it¡¯s so hard to find a 2019 ST with the recarro package,4 years ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,"Thanks Joe , They are fun have older one .",4 years ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,Why do companies still offer halogen instead of HID only now?,4 years ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,It¡¯s sad they won¡¯t make cars anymore but  I think it¡¯s a smart move for them.,4 years ago
2019 Ford Fiesta: Review,Oiho,7 months ago
2019 Ford Fiesta: Review,2019 Ford Fiesta se,7 months ago
2019 Ford Fiesta: Review,This is my dads car or we call it the family car,8 months ago
2019 Ford Fiesta: Review,Do it has a backup Camera?,1 year ago (edited)
2019 Ford Fiesta: Review,"Thinking about picking one up for my commuter car. These are only ~12k compared to a honda or toyota of similar age, with 2x the miles that go for 16k minimum. Cars are absolutely ridiculous now, domestic commuter cars, not so much. Seem to be reliable from my research up to 100k, which I would hope to give this to a family member at that point anyways when I could afford something better. Praying the car industry improves by then.",1 year ago
2019 Ford Fiesta: Review,No backup camera?,1 year ago
2019 Ford Fiesta: Review,"Wanna know how wild car prices are? I just bought a 2019 firsta s for 17,500 with 16k miles on it. lol",1 year ago
2019 Ford Fiesta: Review,I love my Ford fiesta I got a 2019 and I love my Ford fiesta,2 years ago
2019 Ford Fiesta: Review,"In regards to recent gas prices, I know your kicking yourself for not owning one. I purchased the 2019 SE Fiesta for that reason. I travel 80 miles total to work and back .",2 years ago
2019 Ford Fiesta: Review,"I have one for the next 6 months, it's really nice for an entry car, doe anybody have any recommendations for what I should trade it in for after I build up some car credit? Thanks in advance!",2 years ago
2019 Ford Fiesta: Review,I got a 2019 hatchback fiesta. I love it,2 years ago
2019 Ford Fiesta: Review,Is this a reliable commuter car?,3 years ago
2019 Ford Fiesta: Review,Not final model the did continue it.,3 years ago
2019 Ford Fiesta: Review,Shout out from Duncannon!,3 years ago
2019 Ford Fiesta: Review,? Does it have awd,3 years ago
2019 Ford Fiesta: Review,FINALLY! They change the style of the radio. Other companies have been placing touchscreen radios in their vehicles since 2014. Ford should¡¯ve gotten with the dang program for this model since then (2014) and place touchscreen radios in each and every one of them,3 years ago
2019 Ford Fiesta: Review,Why we hate american reviewers --- too much exageration and excitement...,3 years ago
2019 Ford Fiesta: Review,I'm an  owner of one and I would  reccomend it any day. It's great in snow.,3 years ago
2019 Ford Fiesta: Review,Basically a small Ford mondeo ????,3 years ago
2019 Ford Fiesta: Review,"Just got one as a rental. Miserable little car for a 6' 3"" guy.  By the time I adjusted the seat where I needed it I couldn't rest my arm on the door because its too short/narrow. Even with the seat all the way back and the seatback tipped back a few notches there's still not enough legroom, plus my right leg rests uncomfortably on the center console.  The seats themselves are hard and narrow with a short cushion as well.  I've rented a few other small economy cars such as the Toyota Yaris sedan (Mazda 2) and it was much better in almost every way.",3 years ago (edited)
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,coconut mall,4 days ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,3:56 Corvette got stuck.,7 days ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,I miss when cars had fun colors like this. Now everything is the same drab and depressing colors.,11 days ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,weirdest ford fiesta commercial,3 weeks ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,Question for fiesta drivers: have any of you been chased through a shopping centre in a car and made to participate in a marine beach assault in the same car? How did it go?,1 month ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,2:38 stop mmm drive,2 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,How the engine did not stall when the car went in water cz the air intake got into the water for a moment but it kept running,2 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,I love this review! Moreso the Chase scene through the Shopping center :) so cool,3 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,"I believe the baddie in the corvette was former stig, ben collins. Little topgear top fun fact tip thing",3 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,"I almost made the insane mistake of buying a 100,000 mile Ford Fiesta AT because of this film. Amazing, fell deeply in love with this car back in the day.",3 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,?????¡á??????¡á??????¡á??????¡á??????¡á? it¡¯s a good thdumbforward. Lo,3 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,"Nice video, with Bach music in it, in the future, I'm gonna to make an MLG version of it <3",4 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,European Ford Car Vs The Black Corrvette.,4 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,Can¡¯t do this with an electric puma,4 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,that was a stunning show for fiesta,5 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,¥³¥ë¥Ù¥Ã¥Èc6¤¬Óû¤·¤¯¤Ê¤ë„Ó»­¡£,5 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,THE CORVETTE IS STUCK IN BRITISH HOMESTORES!,5 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,I am now breaking the speed limit INDOORS!,5 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,I'm watching the Drivetribe video where they are revisiting this shopping centre.,6 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,Could not have done this review in Germany. Firstly the german Army is no fun and secondly we dont have beach assault crafts :),6 months ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,"I don't get the fiesta hype. Other than the drive, a fiesta is just a fiesta. Everyone's either got one or had one. You can spot a fiesta a mile off and for me personally they are boring. Enter level has an awful entertainment system too. The Polo is more like a golf nowadays, haven driven both, and a new corsa and the new Peugeot 208. Best for me is 

1. 208
2. Polo
3. Fiesta
4. Corsa",2 years ago (edited)
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,"Looks a bit fishy. Ha, ha! ??",2 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,Thanks from a monde oilerman,2 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,We have a fun drive car same as fiesta with 150  horse power but its not comfortable. So it's very bad . I chose polo.,2 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,Fiesta looks ugly,2 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,V w sound good,2 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,"The Fiesta is a better looking car, the VW  looks more like a car a pensioner would drive. Much prefer the Fiesta.",2 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,Ford without doubt,2 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,VW is the better one as a daily¡­¡­we here get the 6C till date with an EA211 1.0 TSI and stage 1 tuning gets it upto 130 BHP 240 NM,2 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,I like the VW polo better for its 5 bolt wheels and starboard fuel door.,2 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,Why is leg space a test on small cars like this?,2 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,Ford has the best closing door sound,2 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,Ford fiesta 2019,2 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,"Fiesta for her, Polo for him.",3 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,"VW is far better than Ford Fiesta. 
More practical
Bigger Trunk
Better door closing sound
Bigger rear seat",3 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,Not the 1 liter very flammable EcoBoost and the extremely exposable plastic Golf engine? ...,3 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,But can they outrun a 50ml tank shell?,3 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,"I used the Polo for the past 3 years, the car has been great but the 1l engine starts to show its age after 60.000km

I decided to try the Fiesta and the engine might be better (not by miles like everyone says) but the Polos interior is in another league",3 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,Vwww wonnnn,3 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,I'am in love with my new Polo ????,3 years ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,No there are not.,1 year ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,"Fiesta nice to drive.
Shame about the nasty wet cam belt",5 months ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,Under 12k for a new fiesta 5 years ago. That¡¯s now min 20k,8 months ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,Very nice,1 year ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,"Actually perfect for this price, isn¡¯t it?",1 year ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,"Came here from SLS Black Series review. And I gotta say, I'm good with you Matt, me and a Ford Fiesta also.",1 year ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,"Your not Alan Partridge..

Immm Alan Paaaartridge..",1 year ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,I know this was 2020 but now a brand new Fiesta starts from 14.500 in Germany. Crazy,1 year ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,Only dullards would buy the boring Polo over the Fiesta that has far far superior dynamics.,1 year ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,03:19 Robert Parker? Great album! Nice taste in music! Especially for driving.,2 years ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,I was looking for a Klingon chat room and discovered this and stayed and watched it all ??,2 years ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,That car is so cool,2 years ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,I¡¯m looking between a Vauxhall corsa or the old Ford Fiesta for my first car yet it doesn¡¯t stop me watching reviews for expensive cars like Tesla,2 years ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,"20k them
Around 27k now with auto",2 years ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,How come Ford Fiesta 2020 is reviewed in April 2018??,2 years ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,Fantastic little car. The bloke obviously dislikes Fiestas to start with.,2 years ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,"As an American in 2022, this reminds me a lot of the last Focus Ford sold here. Sadly, Ford isn¡¯t selling ANY new passenger cars in the USA this year.",2 years ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,"carwow I¡¯m from South Africa but I want the Ford Fiesta St 2020 , but it¡¯s not available, so can it be imported/ bring it to me ?",2 years ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,"I liked the old fiesta with the Aston Martin-style front grill it was cool looking, they¡¯ve changed it and ruined it! I don¡¯t like the look of this one as much.",2 years ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,Can you also review kia stonic? Tnx.,2 years ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,Why would anyone want 18" wheels on a fiesta?,2 years ago
2019 Ford Fiesta: Review,SE has rear cam,1 month ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,Probably added a snorkel or something under the bonnet,1 month ago
FORD FIESTA - Everything You Need to Know | Up to Speed,Never going to call ST models the same ??,4 years ago
FORD FIESTA - Everything You Need to Know | Up to Speed,Heck yeah I just got a 1979 made in West Germany,1 month ago
FORD FIESTA - Everything You Need to Know | Up to Speed,Ford Fiesta destroyed the future of a good car by making and selling millions for years with a crappy automatic transmission that has left many Feista¡¯s taking a Siesta in a junkyard somewhere and Ford between them and the Focus Pocus about  bankrupt.,1 month ago
FORD FIESTA - Everything You Need to Know | Up to Speed,Was there ever a fiesta RS?,1 month ago
FORD FIESTA - Everything You Need to Know | Up to Speed,rip fiesta,1 month ago
FORD FIESTA - Everything You Need to Know | Up to Speed,I just want to have fiesta,1 month ago
FORD FIESTA - Everything You Need to Know | Up to Speed,Xr2 fiesta my favourite ??,1 month ago
FORD FIESTA - Everything You Need to Know | Up to Speed,"I have a 2015 fiesta SE, would love to have yall ""pimp"" it out. I just dont have the knowledge or resources to do so. Ive been seaking out help but have no idea where to even start (after removing the back seat which Ive already done)",1 month ago
FORD FIESTA - Everything You Need to Know | Up to Speed,Prooven it,1 month ago
FORD FIESTA - Everything You Need to Know | Up to Speed,Buying one now!!,3 months ago
FORD FIESTA - Everything You Need to Know | Up to Speed,"I own a full built big turbo mk7 fiesta st, and it's a riot.  Reminds me of driving a dangerous small animal, like a badger with rabies.",3 months ago
FORD FIESTA - Everything You Need to Know | Up to Speed,I love my 2013 fiesta. Couple recalled parts but is great.,4 months ago
FORD FIESTA - Everything You Need to Know | Up to Speed,It is a damn shame we never got a Fiesta RS. I would have sold a kidney for one. I've currently got a 2012 SE manual that I use as my work and winter car and a 2019 ST for acting a fool in. I love these little street legal go carts.,4 months ago (edited)
FORD FIESTA - Everything You Need to Know | Up to Speed,"i learned to drive in fiesta diesel manual and my first car was a diesel fiesta, it pretty light weight and heavy diesel you could quite easy get got weight transfer have some real fun in the corners heavy front end light rear. it driven very well and small and lightweight 2007 one so it was small car compared to modern city cars, good tires and brakes you could push pretty hard in corners. still to this day i stick to lightness my current car just under 1.1 tons with full tank fuel add 8 stone me just tad over 1.1 ton, lightweight adds fun esp as most my driving is tight twisty country roads and the odd mountain roads so small light weight car keeps driving fun but not had ford for 4 years now, it tempting but they discontinuing the fiesta so prob not now. The Fiesta was the UK's best-selling new car for 12 years in a row between 2009 and 2020 and in July 2014, Ford declared it to be the best-selling vehicle ever in the UK with over 4.1m sales since 1976.",5 months ago
FORD FIESTA - Everything You Need to Know | Up to Speed,How did he know I was some toilet,5 months ago
FORD FIESTA - Everything You Need to Know | Up to Speed,my dads first car was a very old fiesta,5 months ago
FORD FIESTA - Everything You Need to Know | Up to Speed,I don¡¯t believe the part ab the heeleys. I looked it up didn¡¯t find shit ab it does anybody know if it did or did not happen for sure,5 months ago
FORD FIESTA - Everything You Need to Know | Up to Speed,"My first car was a 1980 Ford Fiesta I bought for $120 in 1998. I could NOT kill that thing... and I tried. Blown rad hose? No problem, it kept going. No oil? Not an issue, it'll get you home. Fire in the engine bay (twice!), np, started right up after it was put out. Finally, some 8 years later (and an epic thunderstorm) the Fiesta met it's doom, not by anything the driver did to it, but a huge oak tree turned it into a hotdog bun. I still love that car, super fun to drive and whip around mountain turns.",5 months ago
FORD FIESTA - Everything You Need to Know | Up to Speed,POV: you just bought a Fiesta ST and you're watching YT videos to affirm your financial decision,5 months ago
FORD FIESTA - Everything You Need to Know | Up to Speed,Dreaming about F650 ST,6 months ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,Look on auto trader Jeffrey! Thanks for the support!,1 year ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,"Go to England. They never sold a 3 door in North America. If they had, I'd have one.  I had to accept 5 doors, which doesn't look as cool, is a little heavier, but also stronger in a roll-over crash.  I have to admit the extra doors are useful and practical, but I'd still have gotten the big doors if there was a choice. Looks so sporty.",1 year ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,"That shape carry over to 2022, when new shape release normally 4-5 years between old shape n new",11 months ago
2019 Ford Fiesta SE,2:50 that new car smell,2 months ago (edited)
2019 Ford Fiesta SE,"Excellent video??????????i just bought this car but white,thanks  and God bless you",11 months ago
2019 Ford Fiesta SE,I'm trying to find a video that shows under the hood but no-one ever shows it!,1 year ago
2019 Ford Fiesta SE,Is there no way to open trunk inside car like a button or latch?,1 year ago
2019 Ford Fiesta SE,Very informative video as my first car is the Ford Fiesta 2019 SE model in the white exterior color .,1 year ago
2019 Ford Fiesta SE,"surprised to see this as it was said 2018 would be the last year for this and the focus , i really like both cars but have yet to own one, i have however rented the ford focus titanium several times and it is a joy to drive and ride in ,and the tech is out standing ,excellent video ty sir",2 years ago
2019 Ford Fiesta SE,I want to get one but my credit ass. So I can't. Fingers crossed that I will the lottery to afford one.,2 years ago
2019 Ford Fiesta SE,Closest America has to the Figo and Ka,2 years ago
2019 Ford Fiesta SE,Prices on this model are sky high even a few years old.  At best a brand new one was worth maybe 14 grand on high side but i see these SE models 2 and 3 years old at almost 18 grand!,2 years ago
2019 Ford Fiesta SE,Ee mine is different,3 years ago (edited)
2019 Ford Fiesta SE,It's touch screen ?,3 years ago
2019 Ford Fiesta SE,Watching this bc idk how to use my car,3 years ago
2019 Ford Fiesta SE,why do the inside of these cars have different dashboards sometimes?,3 years ago
2019 Ford Fiesta SE,"I hate the front, it looks like a Catfish.",3 years ago
2019 Ford Fiesta SE,Has it parking sensors?,3 years ago
2019 Ford Fiesta SE,"Phenomenal review, great work ! I¡¯m buying this car on Saturday I can¡¯t wait !!",3 years ago
Volkswagen Polo 2019 vs Ford Fiesta 2019 - see which is the best small car! | carwow,That's funny. Here in the US they definitely standout for how small they are. Also they were the number one most dangerous car to drive when they were here.,1 year ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,So this is what Coconut Mall in real life feels like...,7 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,Someone needs to put coconut mall music in this,7 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,still watching I love old top gear,7 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,Blues Brothers in a nutshell,7 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,2:08 I can see a face of a person driving that corvette,7 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,This was actually my first car a 2011 zetec 1.25 and it was great!,7 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,The insurance this show must have bought over the years ...,8 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,This is how they get cars in shopping centres,8 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,That one soldier who's within the frame of the final shot killed me,8 months ago (edited)
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,Look at the barbie,8 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,Lucky family men and cult compared to me your huge learn ??,8 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,Best of luck in yours and all that laugh,8 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,Undersize is true I admit condom in brain,8 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,Penis to my level of tears I¡¯m not stopping find my hate level,8 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,At 3:50 you can see the camera crews on the left lol,8 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,"ford has managed to make a lot of shit cars, and trucks over the years. but the fiesta wasnt one of them.",8 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,L85,8 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,Lot of money down the drain??,8 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,Unironically such a great Pro-Ford/Anti-Chevy advertisement and they didn't even need a Mustang to participate to get the message across LOL,8 months ago
Ford Fiesta Shopping Centre Chase | Top Gear | BBC,"the fact that the fiesta is now discontinued is truly heartbreaking
what a brilliant little car, im going to miss it",8 months ago
Why is it NOW or NEVER to buy a 2019 Ford Fiesta ST?,Yes sir you guys have has that for a couple years now.,3 years ago
2019 Ford Fiesta: Review,How is it now,1 month ago
FORD FIESTA - Everything You Need to Know | Up to Speed,can somebody call the doctor for that man ? 13:09 ??,4 years ago
FORD FIESTA - Everything You Need to Know | Up to Speed,can you guys make a video on the honda crv plzzzzzz,4 years ago
FORD FIESTA - Everything You Need to Know | Up to Speed,?@lamborghinigaming8912? he's never gonna see it here. Comment under the video not under some guys comment,4 years ago
FORD FIESTA - Everything You Need to Know | Up to Speed,?@OriginalKingRichTv? ok sorry,4 years ago
FORD FIESTA - Everything You Need to Know | Up to Speed,?@saadchakir2413?  social distancing right?,4 years ago
FORD FIESTA - Everything You Need to Know | Up to Speed,"I can get behind that, emm kay.",4 years ago
FORD FIESTA - Everything You Need to Know | Up to Speed,add the D for drifting.....,4 years ago
FORD FIESTA - Everything You Need to Know | Up to Speed,When you run out of ideas for videos so you just post videos about hot hatches and ricers.,4 years ago
FORD FIESTA - Everything You Need to Know | Up to Speed,Gt90,4 years ago
FORD FIESTA - Everything You Need to Know | Up to Speed,"ST...I thought it was just short for Street ?? 

Loving his energy level.  It's more childish and fun...yet low key more mature and thoughtful.  Keep doin your thang JP ????",4 years ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,Driving wheel - wrong side,2 years ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,I bought the Fiesta Titanium 18 plate personal not worth it found alot of problems where I was told that's how ford build there cars witch is a joke. If that's how ford builds car they need to fix up fast as right now I wold say driving a fiesta is stressful,2 years ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,Not mentioning even once how badly rusted the previous generation gets after only a couple of years. This is why these ¡°reviews¡± are just presentations.,2 years ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,For me Fiesta looks very outdated,2 years ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,If this car came to India Ford would have made more profit in India and wouldn't end production,2 years ago
Ford Fiesta 2020 detailed in-depth review | carwow Reviews,Reviewers need to stop getting into small hatchbacks and complaining about head/knee room in the back because all the manufacturers do is respond to feedback from influential reviewers and pump out bigger and bigger cars each time,3 years ago
